title,datetime,content
共享单车成新出行方式 摩拜、OFO“橙黄大战”一触即发,2016-11-18-08:55,央广网北京11月18日(记者杜希萌 朱敏)据中国之声《新闻纵横》报道，近段时间以来，共享单车+公共交通(尤其是轨道交通)的新出行模式被越来越多的人所接受。触手可及、停放方便、廉价快捷，共享单车也理所当然地成了资本圈最热的话题。在完成C轮融资后，此前主要深耕校园共享单车服务的OFO共享单车，也就是小黄车昨天(17日)宣布，将正式进军城市单车服务。仅仅半年时间，单车已经站上共享经济的“新风口”。这也意味着，覆盖摩拜单车，OFO和其他共享单车项目，一场范围更大的单车大战正在打响。在成立两年后的首场发布会上，第一次正式走到台前的OFO联合创始人兼CEO戴维颇为兴奋。即便在发布会会场外，和一排排小黄车摆在一起的，是数量相当的橙色摩拜单车。戴维说：“目前OFO已经拥有了超过300万的城市和高校用户，连接单车数量达16万，总订单量达4000多万。OFO已经做好准备为城市用户提供服务。我确实非常高兴，因为发布会外我就看到很多的车，除了我们自己的车，还有别的车。这太激动了。为什么？因为城市共享单车的数量在增长。”同时增长的还有竞争者。今年9月，优拜单车宣布完成1.5亿元A轮融资，计划在11月中旬开始在上海等城市投放单车，骑呗、野兽骑行等品牌都宣布将角逐共享单车市场。不完全统计显示，超过20家投资机构入局共享单车市场，甚至有公司仅仅凭借App上架而未开展实质运营便获得千万元级的融资。共享单车为什么能够红起来？在摩拜创始人胡玮炜看来，连接城市轨道交通和每个人家门口的出行刚需，自行车是最好的解决路径。胡玮炜说，买了一辆车，其实只有低于2%的时间是在利用的，其他时间要么是在停车场里，要么堵在路上或者去找停车场的路上，如果有一辆自行车，在百米之内能找到，用半小时一元钱的价格骑走，这个事情是非常便捷的。在长期关注城市共享单车发展的上海同济大学可持续发展与管理研究所所长诸大建看来，市场空间很大。他表示，说到底，城市的出行解决还是要依靠公共交通加自行车这样的方式解决。(所以)共享单车的发展，会比滴滴打车的发展良性的多，因为小汽车的总量是要控制的，所以无限的发展它与城市发展是背道而驰的。但是自行车其实不会太干扰。上海、北京这样的2000万人口的大城市，每天出行的人都在几百万，现在投放量就是几万，那就算他满打满算一天用五次，也不过才几十万。市场很大，这已经足够说明为何资本加速涌入。但对于共享单车如何盈利，不少观点认为，目前还缺少明确的方向。中关村信息消费产业联盟副秘书长包冉表示，商业模式现在确实还没有看到，目前来说这个行业还是处于依靠花钱，用风险投资的资金来大规模的圈占市场和给用户品牌灌输的一个阶段。小单车变成了“大生意”，开始烧钱大战后，不同平台如何在更大区域区域性合理安排投放与密度，无疑会是新的挑战。而怎样在市场中厮杀中获得更多的用户，已经成为了OFO或者摩拜们最先需要考虑的问题。胡玮炜表示，互联网经济，确实是使用的人员越多，价值就越能体现。随着共享单车的快速发展，其他一些问题也在显现。在地铁，公交换乘等枢纽区域，停车需求与公共空间资源之间的冲突最先激化。就在不久前，上海轨道交通交警部门已经连续约谈摩拜等共享单车公司，“约法三章”要求，使用者必须停入有明显标志的单车集中区域，如果需要增设停车位，也须向警方报备。诸大建认为，这些问题，需要依靠平台和政府合力解决。他表示，既然是公共自行车，企业平台就必须考虑这并不是一个简单的企业和用户之间的二元关系，而是包括企业、用户和政府之间的三元关系。如何在公共空间做到有序，这是未来的一个很大的挑战。而第二个问题，在当前已有的城市设施的条件和空间来上来说城市共享单车发展、停放是远远不够的。当前的重要的工作，是要看政府顶层对(自行车)出行的设计，这必须要问问，我们的城市政府准备好了没。这场单车大战考验的不仅是覆盖密度和线下运营的能力，当单车的规模达到一定范围，车的体验也将成为越来越重要的事情。随着车辆的更新、越来越成熟的城市运营和背后的资本站队，单车大战已经不再是简单的规模战，其面临着更多的复杂因素，以及他们要时刻警醒如何不重蹈覆辙当年的专车大战之路。
ofo加快城市业务布局速度 已覆盖全国33座城市,2017-01-11-16:21,中新网1月11日电   共享单车行业领军企业ofo宣布启动“2017城市战略”，计划到1月22日，以“一天一城”的速度，在10天内密集进入11座城市，为当地居民提供共享单车出行服务。据了解，从2017年开年至今，ofo便加快城市业务布局速度，小黄车已先后亮相合肥、武汉、长沙、南京、重庆街头。加之从去年10月份发布城市战略后，开通的北京、上海、广州、深圳、成都、厦门、昆明等城市服务，ofo共享单车已覆盖全国33座主要城市，成为共享单车领域中覆盖城市数量最多、范围最广的平台。值得注意的是，ofo的城市覆盖数量是市场第二名的近4倍。ofo创始人兼CEO戴威表示，为了让全国更多的城市居民享受到ofo小黄车带来的便利，ofo率先将共享单车的理念和服务普及至全国一、二线城市及省会城市。其中，华中、华东、华南、华西等地区布局速度将大大加快。预计到春节前，ofo将完成国内重点城市的全面覆盖。“一天开一城”供应链产能是竞争对手10倍2017年开年第一个月，ofo就陆续开通了合肥、武汉、长沙、南京、重庆的共享单车服务，每个城市投放数量均以万计。从1月11日开始，ofo更将以“一天一城”的速度，在佛山、天津、西安、石家庄、郑州、济南、南昌、苏州、宁波、南宁、福州11座城市不间断开通城市服务。整个1月，ofo将会落地16座城市，我国南方绝大多数省会城市、直辖市都将看得到小黄车的身影。戴威介绍，春节之后，ofo将会把覆盖城市数提高到100座城市以上。自去年10月正式开启城市战略后，ofo已搭建起全国各城市团队和供应链协同的高效运营体系，目前单车产能已达到竞争对手的十倍以上，这为ofo迅速布局全国提供了保障。业内唯一搭建线下运维团队 运营能力受各地政府欢迎高效密集的战略扩张节奏背后，ofo正迅速下沉到全国更多二三线城市，成为人们出行离不开的基础设施。戴威表示，ofo是国内首家、也是唯一一家建立起规模化车辆维护运营团队的共享单车平台，在落地全国各城市的同时，当地的运营团队也做好了准备，将利用“大数据+科学运维”，对当地的共享单车服务提供支撑，吸引更多市民加入到ofo的绿色出行行动中来。与此同时，ofo推行的共享单车绿色出行事业也受到各地政府的鼓励和认可。目前，ofo已与广州海珠区、重庆沙坪坝区政府展开战略合作，并与广州地铁集团、深圳地铁集团达成合作，这些地区的地铁站出入口、热门商圈、公交站附近都将为ofo设立专门的共享单车停放区。连接单车数超其他企业总和据了解，目前ofo已连接单车80万辆，超过市场上其他共享单车投放量的总和，同时为超过1000万用户提供1亿次出行服务。ofo的日订单量也已超180万，成为继淘宝、天猫、美团、饿了么、京东、滴滴、易到、口碑后，中国第九家日订单量过百万的互联网平台。相关人士分析称，无论从开通城市数量、单车连接数量，还是从用户量、日订单量等各项数据指标来看，ofo均已占据行业第一。业内人士分析称，经过两年的深耕细作，ofo已与市场上其他共享单车企业拉开差距，逐渐形成“一强独大”局面。随着ofo全国线下运维团队的初具规模，供应链管理的日臻完善，加上“轻装上阵”而自带良好的造血能力，ofo或将在2017年迎来全面爆发。
ofo建言南京共享单车城市治理 共建绿色出行志愿者联盟,2017-01-22-10:32,中新网1月22日电 1月19日，南京市城市治理委员会举办圆桌论坛，就共享单车城市发展及治理问题进行研讨。南京城市交通法规及规划专家、公众委员出席，共享单车行业代表ofo受邀参加并建言献策。会上，公众委员、ofo及相关企业共同成立“南京绿色出行志愿者联盟”，共同打造人文绿都。ofo共享单车运营解决方案受关注 网格化管理助力有序停放圆桌论坛上，有关部门代表及专家对共享单车行业发展给予了认可和肯定，但也不约而同提到南京公共单车容量及共享单车用户使用不规范、乱停乱放等问题，与会专家对共享单车的管理做了交流。ofo共享单车副总裁马野铭对相关运营情况做了介绍，他表示，ofo是行业内首家、也是唯一一家建立车辆维保制度和专业运维团队的公司，对城市投放的共享单车，ofo进行了网格化管理，大网格里有小网格，小网格里有运营师傅在街面上巡视。小网格大小一般在两到三站路之间的距离，每个运营师傅要负责管理800到1000辆，包括管理乱停放、查看车辆状态是否有损坏、调度等，这在共享单车秩序和维护上起到了一定成效。“共享单车最初创立的特点，就是无桩、随借随还、价格经济。”他坦言，目前ofo已经在进入全国33个城市，南京地区高校6000辆、城市5000辆，但在引导公众有序停放上，App的奖惩机制虽然起到了效果，但还没有从根本上解决问题，希望通过企业政府公众三方互动，实现有序停放的目标。“他表示，ofo对于整个共享单车行业出现的共性问题，也正在摸索解决方案，相关工作正走在行业前列。倡议绿色出行 ofo与公众委员共同组建志愿者联盟圆桌论坛上，顾大松、马志恒、王兴宏等11位公众委员昨联合发出倡议：网约单车企业要遵循南京市城市管理和交通管理等相关规定，规范投放，服从管理，共同维护南京城市空间美好秩序；网约单车企业要约束用户骑行守法、停放有序，提升产品质量形象，共建南京人文绿都；作为南京市民，要在使用过程中爱护网约单车，遵守骑行、停放守则，并劝导不文明行为，展现南京市民良好形象。与此同时，ofo还与东南大学交通法治与发展研究中心、南京义工联、南京卓迅汽车租赁公司共建“南京绿色出行志愿者联盟”，共同开展网约单车骑行、停放环境改善研究、建言，宣传自行车骑行、停放规则，规范网约单车停放秩序。马野铭表示，ofo还将以各种形式参与到南京推动南京绿色环保事业的各项活动中去，切实发挥作用，为南京打造人文绿都做贡献。
破局春节“最难一公里” ofo百万单车免费骑,2017-01-23-11:31,中新网1月23日电 2017春运开始，各地车站、机场等交通枢纽呈现出人流量集中的现象，尤其在热门旅游城市的景区周边，以及市内公交地铁无法触达的“最后一公里”处，出行难、打车难等问题，将给人们走亲访友、外出游玩带来诸多影响。随着以ofo为代表的共享单车的兴起，以上问题将有望得到改善。近日，全球最大的共享单车平台ofo宣布，将于1月26日至2月2日春节黄金周期间，联动全国已覆盖ofo共享单车服务的城市，共同启动“百万单车免费骑”活动。届时，ofo的小黄车将全部免费提供给市民骑行。专家认为，共享单车的普及，不但有助于缓解春节期间“最后一公里”出行难问题，同时也将进一步普及全民绿色出行理念，提高全民环保意识。ofo百万单车免费骑 破局春节“最难一公里”根据全国50家交管部门联合发布的《2017年春节出行预测报告》及互联网大数据共同显示，春节期间，全国部分城市的路况将变得比平时更堵。记者通过采访也发现，随着春节的临近，北上广深等一线城市人口密度极速下降，同时，三四线城市由于大量外出务工人员返乡，交通压力有所增长。尤其车站、商场、景区等人流集中区域更易发生拥堵。加上春节期间出租车等公共交通运力减少，交通出行的“最后一公里”或将变成“最难一公里”。“很多人平日已经习惯了将ofo小黄车作为短途出行的交通工具，所以他们希望春节回家后，也能在自己的家乡骑到小黄车。”ofo副总裁池文明介绍说，“这是ofo首次在全国范围发起免费骑行活动，涵盖包括北京、上海、广州、深圳、厦门、昆明、成都等数十个主要城市。”专家认为，2016年兴起的ofo共享单车，以其灵活便捷，24小时随取随用的特点，在许多城市都成为了有效解决“最后一公里”的出行方案。在春节期间，也势必将发挥出不可替代的作用。共享单车带动骑行旅游、健身潮  引领低碳过年新风尚曾经有网友笑称，“过年，就是不健康生活方式的集合：吃得太多，动得太少，昼夜颠倒，一身肥膘！”那么，共享单车能不能在通过鼓励人们骑行，逐步改善这一状况呢？对此，ofo创始人兼CEO戴威表示：“ofo共享单车在走进全国各个城市的同时，也在与人们的日常生活产生连接。未来共享单车将不仅仅只是一个短途出行的工具，更将代表一种生活方式和健康环保的生活理念。”据了解，除了免费骑行活动，ofo春节期间还将推出“探索不一样的家乡”活动，为每个城市精心设计具有当地特色的骑行路线，鼓励用户发现一座城市的美好。同时，不管新老用户，在骑行结束后还可获得一个新春福袋。专家表示，ofo此举将有利于吸引全国更多城市市民体验并使用共享单车，同时也将鼓励更多市民走出家门，以骑行锻炼的方式，引领健康、低碳过新年的新风尚。
春节短途出行ofo小黄车受青睐 全国各地掀绿色出行潮,2017-02-03-16:24,中新网2月3日电 春节假期这几天，在全国各地街头上，到处是骑着“小黄车”悠闲前行的人们。无论在广州塔、成都锦里、西安街头，还是厦门五缘湾湿地公园、南京白马公园，春节期间骑行ofo小黄车已然成了新风尚。往常供人们上下班的交通工具—小黄车，在春节期间成为了市民短途出行、健身骑行，甚至朋友聚会的时尚新选，甚至连在中国体验春节的外国友人，也兴奋的“约起”，骑着小黄车过个中国年。成都电视台报道，春节期间市民骑行小黄车游园成为新风景据悉，引领这股春节全国绿色出行新风潮的，是共享单车平台ofo，从1月26日至2月2日，ofo在全国范围内开展了“百万单车免费骑”活动。只要所在城市覆盖有ofo服务，市民均可免费骑行小黄车。专家表示，ofo此举不仅有效缓解全国人民春节期间“最后一公里”的出行难问题，更引领全民绿色出行的时尚新气象。广东卫视报道ofo春节活动 值得注意的是，ofo小黄车不仅在春节期间成为全国各地市民便利出行的利器，更成为各地媒体纷纷报道的焦点。大年三十晚，在全国人民围坐年夜饭桌期待春晚时，央视对ofo小黄车春节免费出行活动进行关注报道，春节期间绿色出行，小黄车和骑行者更是引领低碳健康过新年的颜值担当。而全国其他城市电视台，也相继报道当地市民在春节期间骑行小黄车，助力绿色出行。武汉街头，市民准备骑行小黄车出行。近年来，随着城市机动车保有量的不断攀升，交通拥堵现象、城市热岛现象愈发严重，对绿色出行的呼声越来越高。面对这一社会问题，以倡导绿色环保的共享单车服务应运而生。作为提出无桩共享单车概念、发展速度快、覆盖城市范围广的共享单车平台，ofo小黄车已为全国33个城市提供服务，单车总量超100万辆，注册用户数已有1000万，累计服务次数已超1亿次。
ofo春节骑行数据：全国33城用户骑行超2000万公里,2017-02-06-15:35,中新网2月6日电 随着丁酉鸡年春节长假的结束，国内知名共享单车企业ofo面向全国33个城市的“百万单车免费骑”活动胜利收官。来自ofo官方数据显示，在1月26日至2月2日活动期间，来自全国33座覆盖ofo服务的城市用户，用小黄车骑行总里程超过2000万公里，相当于地球到月球距离的约52倍。掀绿色出行风潮  ofo成春节“出行神器”ofo数据显示，华北、华东、华南地区的城市用户，在春节期间选择ofo小黄车代步出行的热情最高。无论在广州塔、成都锦里、西安街头，还是厦门五缘湾湿地公园、南京白马公园，到处是骑着“小黄车”悠闲前行的人。往常供人们上下班的交通工具—小黄车，在春节期间成为了市民短途出行、健身骑行，甚至朋友聚会的时尚新选。家住北京市朝阳区的李女士表示：“每年全家人逛庙会，都要为在庙会周边停车难和打车难问题伤脑筋。而今年选择全家骑小黄车出行，即解决了出行难问题，又锻炼了身体，更增进了家庭成员间的感情。”春节骑行小黄车，不光吸引公众的参与，更引发了全国各地电视媒体的关注。央视一套春节特别节目、央视大年三十晚《新闻联播》分别对春节期间ofo共享单车进行报道，北京电视台、广东卫视、成都电视台、石家庄电视台、云南电视台等卫视、地方台等春节特别节目纷纷跟进：春节骑小黄车成为绿色出行新风尚。ofo数据显示，按一辆中等排量小轿车行驶2000万公里碳排放计算(0.27kg/km)，本次活动减少排放总量达5400吨，按一亩成年树林一天可吸收二氧化碳约67公斤计算，春节期间ofo用户骑行将产生大于670公顷成年树林所产生的减碳效能。行业专家分析称，ofo小黄车之所以能在春节期间受到公众和媒体的关注，引领春节绿色出行风潮。一方面说明公众对于绿色出行本身，是有意愿的；同时对于解决春节期间“最后一公里出行难”问题也是有需求的，而ofo小黄车正好为大家提供了最优的解决方案，并迅速成为公众出行的又一大选择。假期出行需求旺盛   ofo破局春节出行“最难一公里”有媒体将春运比作人类最大规模的迁徙活动，今年春节也是如此。统计显示，今年北上广等一线城市人流“回巢热”要超过历年数据，增幅约为8%。平日北上广等一线城市的拥堵状态被复制到二、三线各城市旅游地标、交通枢纽等区域。交通领域专家同时表示，虽然一线城市的普遍拥堵现象得以改善，但是车站、机场、大型迎春活动等场所将比平时更加拥堵。而二线城市由于回乡人流的增加，导致城市“常态拥堵”。共享单车对于解决上述问题意义非凡，ofo共享单车在春节期间，不仅用环保高效的方式，解决了春节出行“最难一公里”问题，更为城市交通疏导作出贡献。
中国共享单车行业报告：ofo市占率51.2% 居行业第一,2017-02-08-18:51,中新网2月8日电 近日，知名第三方数据研究机构比达咨询发布《2016中国共享单车市场研究报告》(下文简称《报告》)，对中国共享单车行业市场竞争格局进行了调研。《报告》数据显示，2016年中国共享单车整体市场份额中，ofo以51.2%的市场占有率，位居行业第一。其中，城市覆盖数是第二名的3倍，单车投放量是第二名的1.6倍。各项指标全面领跑行业 品牌综合影响力第一《报告》数据指出，作为全球首个提出“无桩共享单车”概念的企业，ofo已经以51.2%市场占有率，稳居行业第一，比第二名高出11个百分点。同时在城市覆盖数和单车投放量两项关键指标中，ofo也大幅领先行业其他企业。据了解，ofo共享单车服务已覆盖全国33座城市，投放80万辆单车(截至发稿时止，ofo单车投放量已超过100万量)。在诞生不到两年的时间内，ofo已迅速成长成为共享单车行业中的领军品牌。本次《报告》中，比达咨询还针共享单车的用户满意度进行了调研。数据显示，ofo以9.4分的综合得分，成为用户满意度第一的共享单车品牌。在品牌综合影响力方面，ofo在用户体验、用户活跃度、用户留存率、城市覆盖度、单车投放量等各项指标均领先竞争对手。据了解，2015年至2016年，共享单车市场整体用户数量实现了从245万到1886万巨大增幅。比达咨询预测，2017年，共享单车市场用户规模将继续保持大幅增长，年底或达5000万用户规模。ofo小黄车已成为城市用户短途骑行首选全面领跑市场的背后，得益于ofo对城市业务的积极布局和精细化运营。刚刚结束的春节假期，ofo就曾掀起了绿色出行风潮。数据显示，在1月26日至2月2日，来自全国33座城市的ofo用户，骑行总里程超过2000万公里，相当于地球到月球距离的约52倍。无论在广州塔、成都锦里、西安街头，还是厦门五缘湾湿地公园、南京白马公园，到处是骑着“小黄车”悠闲前行的人。往常供人们上下班的交通工具—小黄车，在春节期间成为了市民短途出行、健身骑行，甚至朋友聚会的时尚新选。此前，国家发改委曾针对2016年印发的《推进“互联网+”便捷交通 促进智能交通发展的实施方案》所作的阶段性总结中，点名表扬了以ofo为代表的共享单车企业，称ofo“为城市交通中短距离出行、解决‘最后一公里’提供了有力支撑”。比达咨询分析师王慧丰表示，ofo受用户青睐的原因，一方面是其真正解决了城市短途出行“最后一公里”的问题；另一方面，其价格亲民，相比其他共享单车299元的高押金，ofo使用押金仅需99元，加之小黄车轻便好骑的产品特点，以及ofo覆盖城市数多、单车投放量大，全国33个城市的用户，可以做到随时随地骑到小黄车，使得ofo小黄车最终成为了全国城市用户短途出行的最优选择。
感恩城市贡献者 ofo共享单车为北京环卫工人送元宵,2017-02-11-19:18,中新网2月11日电 一年一度的元宵佳节又到了。春节期间，城市的贡献者环卫工人们依然坚守在各自的岗位上，为保障市容市貌默默地付出自己的辛劳。2月11日，正月十五，ofo北京为回龙观环卫队和万柳环卫队150名环卫工人送去元宵和新年祝福，感谢一线环卫师傅们对绿色清洁城市做出的贡献，并邀请师傅们免费骑行共享单车，享受互联网+时代的发展成果。早上10点半，ofo北京城市运营的工作人员赶到回龙观环卫队驻地，协助回龙观环卫领队发放元宵，跟宿舍区约90名环卫工吃元宵，过佳节。ofo的工作人员表示，环卫工人对城市的清洁和管理做出了巨大贡献，是值得我们感谢的最可爱的人。ofo 共享单车成立后，成为国内首家也是唯一一家建立车辆维保制度的企业，平日里的车辆线下运营工作让大家越发感受到城市管理工作的不易，对环卫工人的贡献有了深刻的体会。值此元宵佳节，希望跟城市贡献者们一起度过。下午5点，ofo的工作人员又赶往万柳环卫队，在领队的安排下分发70份汤圆。每年正月十五，各个城市都有环卫工人驻守在工作岗位上，随时准备展开相关区域的市容整理工作，万柳环卫队的工人们也有自己的部署。对环卫工作，一线工人师傅表示很有职业自豪感，ofo的工作人员也为师傅们的职业精神鼓舞。除了元宵，ofo还为工人师傅们送上了ofo小黄车的骑场券，方便师傅们平时工作、出行时可以长期免费使用小黄车，减少一些辛苦。ofo 官方表示，ofo是“互联网+”背景下成长起来的中国企业，正在成为覆盖全国各城市的基础设施，希望通过这种形式，可以让城市的贡献者们共享受到互联网发展的成果，方便他们的工作和生活。“未来，我们还将继续关爱这些叔叔阿姨们，也希望大家能共同维护城市卫生，保护环卫工人的劳动成果。”ofo工作人员说。
ofo情人节送温暖 各地情侣借小黄车秀恩爱,2017-02-14-16:44,中新网2月14日电 随着2月14日情人节来临，共享单车领军企业ofo陆续在上海、深圳、成都、天津、厦门、合肥、武汉、石家庄等多个城市开展了情人节特别活动。别开生面的情侣骑行挑战、与小黄车合影抽奖、9999朵玫瑰大派送，给当地市民送去了不一样的浪漫。  情侣牵手骑行 看一路别样风景2月12日，ofo在上海率先开启“爱的骑迹 情侣骑行挑战”活动。活动当天，ofo邀请了51对情侣参与骑行挑战，共同挑战10公里路程，也一起欣赏大上海的美丽风景。  据悉，参与活动的情侣都是ofo的忠实用户，在看到活动后就毫不犹豫的报了名，有的情侣甚至为此赶在活动前一天才从外地出差归来。活动结束后，完成挑战的每对情侣都收到了ofo的小心意——玫瑰花与一份别致的“爱情合约”，以及一次免费体验摩天轮vip包厢的机会。令人羡慕的是，有一位男生向恋人求婚成功，得到了在场所有人的祝福。2月14日，ofo厦门继续接棒，邀请了20对情侣体验“厦门最甜蜜的骑行路线”。从世茂双子塔出发，沿着环岛路，悠游沙坡尾，经过“中国最美大学”厦门大学，体会不一般的浪漫。当天所有参加的情侣都获得了电影套票，更有情侣在 “爱的闯关环节”赢取了鲜花、玩偶、电影票、全城告白LED等丰厚礼品。在这个特殊的日子里，ofo也宣布“牵手”厦门世茂海峡大厦，在厦门世茂海峡大厦地标设立ofo站牌，今后市民在世茂海峡大厦将有专属的ofo停车点，取用小黄车将更加方便快捷。9999朵玫瑰花ofo甜蜜送浪漫情人节期间，ofo还为合肥、天津、武汉、石家庄、昆明、深圳、成都地区的用户准备了许多惊喜。ofo定制玫瑰桃红酒、玫瑰干花束、冬日暖饮等礼物均随机派送给幸运的用户市民。合肥和武汉地区喜欢“花式秀恩爱”的情侣还能通过ofo的城市微信公众号分享自己和小黄车的浪漫合影，赢得更大的惊喜。ofo在天津更是准备了9999朵玫瑰花，随机派送给幸运路过的女性用户，让更多人能够感受来自ofo的温暖。情人节当天，ofo也宣布和合肥百大商业大厦“在一起”，设置了全新的推荐停车点，方便合肥市民停放取用，现场注册的新用户还将获得免费骑车卷。而在此之前，ofo还在春节期间举办了“百万单车免费骑”的活动，在全国33个城市掀起了绿色出行的高潮。央视一套春节特别节目、央视大年三十晚《新闻联播》分别对春节期间ofo共享单车进行报道，北京电视台、广东卫视、成都电视台、石家庄电视台、云南电视台等卫视、地方台等春节特别节目纷纷跟进：春节骑小黄车成为绿色出行新风尚。目前，ofo现已成功在北上广深拥有大批忠实用户，全国覆盖城市达33座，是覆盖城市最多的共享单车企业。据第三方数据研究机构比达咨询日前发布的《2016中国共享单车市场研究报告》显示，ofo 共享单车目前在单车投放量、城市覆盖数、市场占有率这三项关键指标上均位于行业第一。ofo 方面表示，将在 2017 年覆盖全国 100 座城市，并开始全球同步运营，明年情人节将会有更加不一样的“浪漫骑行”活动。
ofo引爆新加坡骑行热潮 狮城市民纷纷点赞,2017-02-17-14:01,中新网2月17日电   自2016年12月26日ofo进入新加坡运营以来，小黄车在新加坡引起了广大市民的关注，已陆续在西海岸公园、榜鹅水道、肯特岗公园、以及国家美术馆和金沙酒店附近五个区域，推出上千辆共享单车。近日，ofo在新加坡发起了为期两周的免费试用活动，无需押金，民众可随时随地自由取用，引发广大市民争相试用，在狮城燃起了绿色出行热潮，被联合晚报、海峡时报等多家媒体报道点赞。ofo在西海岸、金沙等5地，推出上千辆免费试用单车数千辆单车免费试用  简单易用或民众欢迎据了解，ofo共享单车将单车投放在人流量高、需求量大的五个区域。试用期间，民众不需要支付押金，就可以免费使用单车，体验ofo共享单车的舒适便捷。ofo新加坡运营负责人表示，ofo已经获得当地陆路交通管理局的支持，未来还将在更多地区投放更多共享单车，为民众带来更多健康便捷的出行选择。在免费试用期过后，当地民众只要在手机应用内预先储值，无需押金，即可以每小时0.5元的低廉价格租用ofo共享单车。与国内略有不同的是，ofo能够通过手机应用定位用户骑行路线、使用时间、并推荐停放位置。若用户将共享单车停放在推荐范围内，还可获得相应奖励，更好方便了后续用户的使用。ofo共享单车现身新加坡街头中国智造走出国门  迅速进行国际化布局作为“无桩车”概念的首创者，ofo以最广覆盖、最多投放、及行业最低押金受到用户的普遍青睐，同时其轻便舒适的设计也更加符合亚洲人骑行的习惯。此次登陆新加坡的“海外版”ofo小黄车、由ofo与凤凰自行车厂联合开发并由凤凰生产，采用不易爆胎的实心轮胎及特质铃铛，操作简单，舒适耐用，让国外友人感受到了“中国智造”优良品质。截至到目前，ofo共享单车已经在国内推广至34座城市，用户超过1000万，市占率、投放量、覆盖率均位列行业第一。早在2016年12月底，ofo就已开启了海外业务布局，其共享单车服务均已在新加坡、美国硅谷、英国伦敦落地运营。而新加坡由于其发达的政治文化、及在东南亚市场的重要战略地位，成为ofo海外拓展的重要市场之一。且新加坡并未有公共自行车及共享单车的先例，也为ofo的推广布局提供了有利的条件。在未来，ofo将在更多国家展开运营，进一步拓展其国际化布局，将“原创智能硬件+无桩共享模式”推广到更多区域，让更多用户享受到共享单车的健康与便捷。
